timestamp,package_id,product_id,location_lat,location_long,temperature_C,status,tamper_detected
2025-06-14 17:26:21.554960,PKG1338,PROD558,12.28458,121.412057,4.2,Out for Delivery,False
2025-06-14 17:01:21.566668,PKG5447,PROD863,10.00173,122.417221,3.9,In Transit,False
2025-06-14 18:03:21.567001,PKG5937,PROD436,13.728655,123.139286,4.4,Delivered,False
2025-06-14 12:58:21.567217,PKG6050,PROD229,13.365338,123.714965,2.9,Delayed,False
2025-06-14 01:37:21.567412,PKG3869,PROD626,13.074786,120.053767,7.4,In Transit,False
2025-06-14 12:14:21.567599,PKG1498,PROD139,13.735957,123.51713,2.9,Delivered,False
2025-06-13 22:11:21.567784,PKG1077,PROD759,12.509475,122.264237,4.3,Delivered,False
2025-06-14 11:59:21.567969,PKG3644,PROD511,13.160798,123.342458,5.8,Delayed,False
2025-06-14 15:37:21.568149,PKG7574,PROD120,13.486038,123.432834,4.0,Delayed,False
2025-06-14 14:09:21.568331,PKG6192,PROD998,10.102325,123.531431,4.2,Delayed,False
2025-06-14 18:12:21.568497,PKG4853,PROD989,13.10129,121.347671,7.4,Out for Delivery,False
2025-06-14 07:16:21.568668,PKG1284,PROD871,12.470186,121.849615,4.6,Delivered,True
2025-06-14 10:12:21.568839,PKG4901,PROD925,11.372,121.271966,4.1,Out for Delivery,False
2025-06-14 20:33:21.569006,PKG6406,PROD984,13.749302,124.749583,2.1,Delivered,False
2025-06-14 08:04:21.569178,PKG6083,PROD161,10.294856,120.502635,3.6,Out for Delivery,False
2025-06-14 20:58:21.569362,PKG2236,PROD168,13.598823,122.416814,2.7,Delayed,False
2025-06-14 15:09:21.569538,PKG8318,PROD859,12.562659,123.013008,4.4,Delayed,False
2025-06-14 02:18:21.569714,PKG3269,PROD217,11.69179,121.200052,6.0,In Transit,False
2025-06-14 08:51:21.569887,PKG7395,PROD490,11.658358,124.95482,7.0,In Transit,False
2025-06-14 05:01:21.570058,PKG5042,PROD792,11.992661,121.361379,6.0,In Transit,False
2025-06-13 23:09:21.570229,PKG8169,PROD512,13.135554,120.631404,4.4,Delayed,False
2025-06-14 15:31:21.570396,PKG7231,PROD841,10.726635,123.37311,5.6,Delivered,False
2025-06-14 16:39:21.570566,PKG6606,PROD737,10.716462,123.12801,3.0,Delayed,False
2025-06-14 16:28:21.570730,PKG6158,PROD570,10.805542,122.57754,6.4,In Transit,False
2025-06-14 12:56:21.570904,PKG5066,PROD479,11.19316,120.709741,6.4,Out for Delivery,False
2025-06-14 05:01:21.571081,PKG9278,PROD985,11.905129,120.849299,5.6,Delivered,False
2025-06-14 20:21:21.571250,PKG2074,PROD636,13.935952,120.94484,2.8,Delivered,False
2025-06-14 18:35:21.571426,PKG2019,PROD559,12.530482,121.710493,6.8,Delayed,False
2025-06-13 23:00:21.571595,PKG7686,PROD698,10.629807,121.774847,3.9,Out for Delivery,False
2025-06-13 22:41:21.571764,PKG8884,PROD171,10.973041,121.323062,5.5,Delayed,False
2025-06-14 09:43:21.571932,PKG6799,PROD117,10.385352,122.811976,4.3,Delivered,False
2025-06-14 05:27:21.572105,PKG1740,PROD620,12.658363,120.966583,6.6,Delivered,False
2025-06-14 13:44:21.572280,PKG5860,PROD498,13.627615,121.582484,4.8,Out for Delivery,False
2025-06-14 20:18:21.572444,PKG3584,PROD361,10.566282,120.546355,7.6,In Transit,False
2025-06-14 03:09:21.572610,PKG4605,PROD631,10.338952,123.162393,5.1,Delayed,False
2025-06-14 02:18:21.572765,PKG5203,PROD378,12.679712,123.8868,3.8,Delivered,False
2025-06-14 04:54:21.572923,PKG3104,PROD859,12.44801,122.889315,4.4,Out for Delivery,False
2025-06-13 22:50:21.573097,PKG2233,PROD762,10.943481,124.225804,7.2,Out for Delivery,False
2025-06-13 22:20:21.573277,PKG2174,PROD105,12.384287,123.283269,6.4,In Transit,False
2025-06-14 07:50:21.573461,PKG2153,PROD385,11.535097,123.42015,7.5,In Transit,False
2025-06-13 23:21:21.573644,PKG6223,PROD677,10.472581,121.227271,6.0,Delayed,False
2025-06-14 16:16:21.573838,PKG9440,PROD151,11.233513,121.235383,5.6,Delayed,False
2025-06-14 01:51:21.574037,PKG4334,PROD453,13.869189,124.401798,5.4,Delayed,False
2025-06-14 08:54:21.574239,PKG3765,PROD469,11.018156,122.910483,7.4,Delayed,False
2025-06-14 17:24:21.574429,PKG7349,PROD951,13.620132,122.755859,7.4,Delayed,False
2025-06-14 14:50:21.574626,PKG2178,PROD782,11.14522,124.527346,6.4,Out for Delivery,False
2025-06-14 03:03:21.574824,PKG1703,PROD151,13.998769,124.126624,7.4,Delayed,False
2025-06-14 02:35:21.576652,PKG7156,PROD905,12.411282,123.340323,3.3,Delayed,False
2025-06-14 05:00:21.577178,PKG6792,PROD777,12.830736,123.473145,4.7,Delivered,False
2025-06-14 02:05:21.577489,PKG2183,PROD849,12.274058,123.629769,7.8,In Transit,False
2025-06-14 06:35:21.577733,PKG9158,PROD207,13.277736,121.407642,4.2,In Transit,False
2025-06-14 13:25:21.577970,PKG7402,PROD313,11.223191,122.577823,5.8,Out for Delivery,False
2025-06-14 18:46:21.578251,PKG2926,PROD530,12.041972,123.91009,4.6,Delayed,False
2025-06-14 20:11:21.578551,PKG5309,PROD197,13.174772,124.79149,2.3,Delayed,False
2025-06-14 13:41:21.578829,PKG1590,PROD584,12.168734,121.058128,6.3,Out for Delivery,False
2025-06-14 09:21:21.579142,PKG4694,PROD764,12.270585,122.201026,4.5,Delivered,False
2025-06-14 09:13:21.579487,PKG9566,PROD469,11.226877,122.399623,3.7,Delayed,False
2025-06-14 13:31:21.579865,PKG9940,PROD764,13.861019,123.555244,3.6,Delayed,False
2025-06-14 11:13:21.580261,PKG9558,PROD324,13.217976,124.30899,3.7,Delivered,False
2025-06-14 15:46:21.580788,PKG2229,PROD770,10.206924,121.063752,6.9,In Transit,False
2025-06-14 19:21:21.581114,PKG1495,PROD931,10.914129,121.39516,2.1,In Transit,False
2025-06-14 14:56:21.581334,PKG4025,PROD346,13.770299,120.468382,5.7,Delayed,False
2025-06-14 12:25:21.581553,PKG3527,PROD658,11.493006,122.706836,3.1,Delivered,False
2025-06-14 21:33:21.581784,PKG8264,PROD395,13.316312,120.238208,5.3,Delayed,False
2025-06-14 07:56:21.582005,PKG3661,PROD511,13.914512,121.733104,7.0,In Transit,False
2025-06-14 11:57:21.582222,PKG1630,PROD125,11.906825,120.652093,4.8,Delayed,False
2025-06-14 09:41:21.582447,PKG3407,PROD785,13.478873,120.151628,5.7,Delayed,False
2025-06-14 10:57:21.582645,PKG6613,PROD852,11.825169,122.791015,2.4,In Transit,False
2025-06-14 14:11:21.582830,PKG9076,PROD754,10.953101,122.66081,2.3,In Transit,True
2025-06-14 12:50:21.583013,PKG3480,PROD764,12.066043,122.379969,3.9,Delayed,False
2025-06-14 21:08:21.583208,PKG3457,PROD793,13.420566,124.207737,4.1,Out for Delivery,False
2025-06-13 22:27:21.583393,PKG6976,PROD553,13.626206,120.789075,6.2,Delayed,False
2025-06-14 18:40:21.583577,PKG2499,PROD241,11.330301,124.079317,6.9,Out for Delivery,False
2025-06-14 16:29:21.583750,PKG7928,PROD577,10.109084,120.373867,4.1,Delivered,False
2025-06-14 05:52:21.583922,PKG5918,PROD197,13.060471,122.889574,4.8,In Transit,False
2025-06-13 21:42:21.584097,PKG4598,PROD673,11.710275,120.728306,7.7,Out for Delivery,False
2025-06-14 19:45:21.584276,PKG1150,PROD321,12.276909,124.144253,3.7,Delivered,False
2025-06-14 19:42:21.584460,PKG5506,PROD614,13.556148,120.957583,6.5,In Transit,False
2025-06-14 20:16:21.584641,PKG2868,PROD839,11.958692,122.760256,5.9,Delayed,False
2025-06-13 23:47:21.584817,PKG1295,PROD480,11.220172,123.943977,7.2,In Transit,False
2025-06-14 07:35:21.584989,PKG2677,PROD322,13.551768,124.365119,5.9,Out for Delivery,False
2025-06-14 05:55:21.585147,PKG4829,PROD147,11.501737,121.593574,4.5,Delivered,False
2025-06-14 09:09:21.585310,PKG8511,PROD940,13.543566,124.285077,6.4,Out for Delivery,False
2025-06-14 12:28:21.585479,PKG8594,PROD707,11.523515,124.148141,2.4,Out for Delivery,False
2025-06-14 12:18:21.585642,PKG9307,PROD521,12.061889,122.380852,2.1,In Transit,False
2025-06-14 08:41:21.585807,PKG5864,PROD343,13.835063,121.955113,2.5,In Transit,False
2025-06-14 02:40:21.585974,PKG9784,PROD182,10.293754,123.680239,6.6,Delivered,False
2025-06-14 20:48:21.586146,PKG4560,PROD819,11.159602,120.316387,2.0,Delayed,False
2025-06-14 13:38:21.586329,PKG1100,PROD474,10.653137,123.897973,2.4,In Transit,False
2025-06-14 06:41:21.586505,PKG8184,PROD893,11.394153,120.068845,2.2,In Transit,False
2025-06-14 20:51:21.586682,PKG7302,PROD157,12.614514,122.359268,3.8,Out for Delivery,False
2025-06-14 01:48:21.586855,PKG9670,PROD447,12.018491,124.612618,5.5,Delivered,False
2025-06-14 09:31:21.587028,PKG7703,PROD637,10.533505,124.197408,6.7,Delayed,False
2025-06-14 09:06:21.587197,PKG4733,PROD252,11.432952,123.291953,4.0,Delivered,False
2025-06-14 00:46:21.587367,PKG1713,PROD454,11.719845,123.925548,3.4,In Transit,False
2025-06-14 11:31:21.587530,PKG7379,PROD404,13.561695,123.553767,3.7,In Transit,False
2025-06-14 08:21:21.587695,PKG4435,PROD306,12.565851,120.4903,5.5,In Transit,False
2025-06-14 07:42:21.587860,PKG2555,PROD568,11.34572,124.33281,5.8,Out for Delivery,False
2025-06-14 01:56:21.588032,PKG2902,PROD739,13.426779,123.212001,4.4,Delayed,False
2025-06-14 10:59:21.588199,PKG8035,PROD189,10.455258,124.744674,4.9,Out for Delivery,False
